GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.service,TrainerWorkloadServiceImpl,110,364,5,9,12,54,8,15,3,13
demo,com.example.demo.utils,JacksonConfig,0,13,0,0,0,2,0,2,0,2
demo,com.example.demo.exception,GlobalExceptionHandler,14,3,0,0,3,1,1,1,1,1
demo,com.example.demo.exception,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
demo,com.example.demo.exception,ErrorResponse,9,0,0,0,4,0,1,0,1,0
demo,com.example.demo.controller,TrainerWorkloadController,0,5,0,0,0,1,0,1,0,1
demo,com.example.demo,Main,5,0,0,0,2,0,1,0,1,0
demo,com.example.demo.dto,ActionType,0,15,0,0,0,2,0,1,0,1
demo,com.example.demo.jms,TrainerWorkloadJmsListener,6,28,0,0,2,9,0,3,0,3
demo,com.example.demo.jms,ActiveMQConfig,0,80,0,0,0,21,0,4,0,4
